,Feedstock flow (kg/hr),Feedstock capacity (million MT/yr),HMF MPSP [$/kg],MFPP [$/MT],Biodiesel MPSP [$/kg],HMF GWP (Energy) [kg CO2-eq/kg HMF],HMF GWP (Economic) [kg CO2-eq/kg HMF],HMF GWP (Displacement) [kg CO2-eq/kg HMF],Biodiesel GWP (Energy) [kg CO2-eq/kg biodiesel],Biodiesel GWP (Economic) [kg CO2-eq/kg biodiesel]
0,126262.6263,1.00,33.64500847,14.16791699,2.16868619,5.404388944,81.32989235,177.9026975,9.560150315,7.15570338
1,127528.417,1.01,33.47107183,14.39723043,2.162967972,5.476455973,82.38406926,181.6236563,9.687634039,7.248453747
2,128794.2077,1.02,33.26844812,14.66152104,2.15557226,5.585767956,84.02133799,187.5462193,9.881002615,7.392506678
3,130059.9985,1.03,33.07142861,14.91849349,2.148237747,5.678684649,85.41770014,192.6148918,10.04536857,7.515363761
4,131325.7892,1.04,32.86573988,15.18677405,2.140546921,5.740651026,86.34981346,196.0018012,10.15498464,7.597374523
5,132591.58,1.05,32.68157104,15.42698551,2.133653965,5.846087789,87.93609632,201.7668398,10.3414981,7.73694153
6,133857.3707,1.06,32.47853216,15.69181066,2.12605437,5.936466701,89.2959521,206.7095034,10.50137483,7.856586648
7,135123.1614,1.07,32.2981679,15.92706046,2.119302552,5.996239661,90.19545301,209.9795693,10.60711083,7.93572805
8,136388.9522,1.08,32.08230138,16.20766119,2.110764133,6.124307135,92.14434331,217.1580734,10.83365713,8.107198595
9,137654.7429,1.09,31.91653024,16.42482763,2.104911178,6.230519928,93.72559806,222.8335612,11.02154336,8.246323209
10,138920.5337,1.10,31.8372915,16.52818132,2.102024246,6.31343097,94.96906475,227.3356852,11.16820971,8.355727987
11,140186.3244,1.11,31.65175207,16.770183,2.095098771,6.370361177,95.82489437,230.4431793,11.26891699,8.431027028
12,141452.1151,1.12,31.58433999,16.85810445,2.092575155,6.470709133,97.33454534,235.9297354,11.44642856,8.563851679
13,142717.9059,1.13,31.40068954,17.09764281,2.085703335,6.556276054,98.62201887,240.6097308,11.59779306,8.67712834
14,143983.6966,1.14,31.20656127,17.35084837,2.078439439,6.611011846,99.44575769,243.6048176,11.69461851,8.749603915
15,145249.4874,1.15,31.03070791,17.58021721,2.071858874,6.709630838,100.9296166,248.9987571,11.86907161,8.880159286
16,146515.2781,1.16,30.85416658,17.81048373,2.065252862,6.793783196,102.1958667,253.6020034,12.0179338,8.991568633
17,147781.0688,1.17,30.68247922,18.03441922,2.058828583,6.89088442,103.6569049,258.9131528,12.18970203,9.120116155
18,149046.8596,1.18,30.50867198,18.26112013,2.052325343,6.973548923,104.9007807,263.4352041,12.33593226,9.229556923
19,150312.6503,1.19,30.33813713,18.48355294,2.045944701,7.025727068,105.6860612,266.2907673,12.42823334,9.298648798
20,151578.4411,1.20,30.16109928,18.70976664,2.038737285,5.255928438,79.09197212,169.7452807,9.297529552,6.958802919
21,152844.2318,1.21,30.0410387,18.87105879,2.034669439,5.329044677,80.17163752,173.6016029,9.426869287,7.053795856
22,154110.0225,1.22,29.8854187,19.07404401,2.028970632,5.440744523,81.84622337,179.6665265,9.624461897,7.201132085
23,155375.8133,1.23,29.83007289,19.14622937,2.026923551,5.531733622,83.21388384,184.6327332,9.785418015,7.321463888
24,156641.604,1.24,29.68629511,19.33376245,2.021550216,5.59670912,84.19127796,188.1846204,9.900357102,7.407458622
25,157907.3947,1.25,29.53290754,19.53383046,2.015813232,5.704993085,85.82040301,194.1059692,10.09190715,7.550795042
26,159173.1855,1.26,29.39334775,19.71586219,2.010592254,5.79848511,87.2270719,199.2191487,10.25729085,7.67455895
27,160438.9762,1.27,29.24347482,19.91134627,2.004985784,5.861593406,88.17669144,202.6714106,10.36892693,7.758109974
28,161704.767,1.28,29.09445685,20.10571539,1.999411438,5.967692555,89.77303332,208.4740786,10.55661213,7.898562011
29,162970.5577,1.29,28.94440594,20.30143204,1.99379867,6.059314454,91.15159717,213.4853492,10.71868764,8.019853134
30,164236.3484,1.30,28.79809806,20.49226662,1.988325983,6.120407659,92.07091431,216.8276264,10.82675911,8.100738041
31,165502.1392,1.31,28.6526237,20.68201418,1.982884633,6.254873832,94.09400524,224.1814357,11.06462445,8.278737029
32,166767.9299,1.32,28.51344336,20.86355221,1.977678709,6.358681268,95.6558928,229.8591418,11.2482557,8.416157648
33,168033.7207,1.33,28.37037316,21.05016424,1.972327563,6.447657367,96.9946728,234.7260526,11.4056509,8.533948442
34,169299.5114,1.34,28.23115916,21.23174656,1.967120725,6.506173588,97.87523371,237.9276427,11.50916378,8.611423433
35,170565.3021,1.35,28.10402573,21.3975715,1.962365527,6.608309137,99.41198247,243.5141431,11.68983753,8.746632247
36,171831.0929,1.36,28.11526862,21.38290252,1.962781904,6.695719075,100.7272106,248.2955881,11.84446225,8.862350856
37,173096.8836,1.37,28.09102822,21.41451699,1.961872247,6.748338304,101.519066,251.1748822,11.93754358,8.932021213
38,174362.6744,1.38,27.95899287,21.58673624,1.956934229,6.848916628,103.0323983,256.6764151,12.11546266,9.065169763
39,175628.4651,1.39,27.82488383,21.76166052,1.951918847,6.934978518,104.3273558,261.384312,12.26770274,9.179104889
40,176894.2558,1.40,27.65852132,21.97618143,1.945280427,5.145424881,77.4309594,163.7121049,9.10205313,6.812660904
41,178160.0466,1.41,27.56304208,22.10318835,1.94201902,5.219103873,78.52124827,167.6152955,9.232388353,6.908588533
42,179425.8373,1.42,27.56584155,22.0995373,1.942204134,5.332979378,80.22954516,173.8073498,9.433829617,7.058890784
43,180691.6281,1.43,27.43829818,22.26589809,1.937453376,5.430402861,81.69422173,179.1274936,9.606167906,7.187758421
44,181957.4188,1.44,27.31625333,22.42508686,1.932893602,5.497103928,82.6976031,182.7742268,9.724159457,7.276039608
45,183223.2095,1.45,27.19578551,22.5822187,1.92838967,5.607223596,84.35437176,188.7965973,9.918956793,7.421808215
46,184489.0003,1.46,27.09027808,22.71983674,1.924444208,5.702815026,85.79262884,194.0249712,10.08805425,7.548351369
47,185754.791,1.47,26.96935701,22.87756005,1.919922707,5.767715124,86.76918237,197.5752726,10.20285996,7.634272143
48,187020.5818,1.48,26.85043929,23.03267037,1.915476162,5.876060953,88.39933574,203.5012769,10.39451945,7.777699039
49,188286.3725,1.49,26.72961063,23.1902734,1.910958302,5.969744101,89.80890976,208.6255886,10.56024123,7.901718552
50,189552.1632,1.50,26.62424811,23.32770288,1.907018493,6.032998501,90.76071525,212.0860528,10.67213576,7.985461903
51,190817.954,1.51,26.60209282,23.35659891,1.906187987,6.135777558,92.30713514,217.7078532,10.85394785,8.121521619
52,192083.7447,1.52,26.48045749,23.51525445,1.901640283,6.227848979,93.69247194,222.7441927,11.01681855,8.243408651
53,193349.5355,1.53,26.36598592,23.66456585,1.897360369,6.289549689,94.62091071,226.1198215,11.12596467,8.325096113
54,194615.3262,1.54,26.26622346,23.79469114,1.893630185,6.394733801,96.20352238,231.8732998,11.3120312,8.464340114
55,195881.1169,1.55,26.15155491,23.94425969,1.889343099,6.485323533,97.56657816,236.8287709,11.47228086,8.584266781
56,197146.9077,1.56,26.04437346,24.08406234,1.885335882,6.545700623,98.47510956,240.132125,11.57908554,8.664202718
57,198412.6984,1.57,25.9477775,24.21005761,1.881724271,6.649492186,100.0367827,245.8096228,11.76268871,8.801604468
58,199678.4892,1.58,25.8374174,24.35400659,1.877598452,6.738875385,101.3816952,250.6992517,11.92080406,8.919934821
59,200944.2799,1.59,25.74185623,24.47865228,1.87402568,6.797880842,102.2695975,253.9277054,12.02518238,8.998055738
60,202210.0706,1.60,25.61733327,24.63986874,1.86906848,5.023437759,75.5965979,157.0456134,8.886262735,6.651267026
61,203475.8614,1.61,25.54049936,24.74129082,1.866423601,5.097668485,76.69689092,160.9921668,9.017573954,6.748074856
62,204741.6521,1.62,25.44576068,24.86486667,1.86293979,5.211886033,78.41108875,167.2092575,9.219620279,6.898896293
